,id,name,addr,gcj_lng,gcj_lat,walking_duration,driving__duration,Public_transport_duration,monthly_rent,poi_entropy_800m,poi_counts_800m
91,B00155LE09,齐七小区,上海市浦东新区邹平路161之1-116号,121.511592,31.178999,74.55,25.766666666666666,35.8,6600.0,3.279842906324816,"{ ""交通设施"": 177, ""休闲娱乐"": 25, ""公司企业"": 116, ""医疗保健"": 70, ""商务住宅"": 121, ""旅游景点"": 2, ""汽车相关"": 63, ""生活服务"": 334, ""科教文化"": 97, ""购物消费"": 349, ""运动健身"": 62, ""酒店住宿"": 26, ""金融机构"": 42, ""餐饮美食"": 238 }"
92,B00155L3ZS,齐二小区,上海市浦东新区南码头路1136、1186弄浦兰路704弄1-12号,121.513057,31.183451,81.36666666666666,24.766666666666666,40.0,4812.5,3.34493445619057,"{ ""交通设施"": 161, ""休闲娱乐"": 14, ""公司企业"": 123, ""医疗保健"": 51, ""商务住宅"": 114, ""旅游景点"": 3, ""汽车相关"": 67, ""生活服务"": 266, ""科教文化"": 85, ""购物消费"": 194, ""运动健身"": 52, ""酒店住宿"": 18, ""金融机构"": 28, ""餐饮美食"": 149 }"
93,B001509286,源城·锦翠苑,上海市浦东新区灵岩南路499弄之1-62号,121.498446,31.15163,28.83333333333333,11.833333333333334,24.6,7109.1625,3.0572934561243508,"{ ""交通设施"": 120, ""休闲娱乐"": 20, ""公司企业"": 116, ""医疗保健"": 69, ""商务住宅"": 131, ""旅游景点"": 7, ""汽车相关"": 64, ""生活服务"": 424, ""科教文化"": 66, ""购物消费"": 482, ""运动健身"": 32, ""酒店住宿"": 37, ""金融机构"": 21, ""餐饮美食"": 336 }"
94,B00155LCDX,上南雅筑,上海市浦东新区洪山路851弄1-22号板泉路894号,121.50498,31.160504,48.1,19.183333333333334,42.516666666666666,2480.5,3.1210311952906333,"{ ""交通设施"": 164, ""休闲娱乐"": 41, ""公司企业"": 121, ""医疗保健"": 77, ""商务住宅"": 128, ""旅游景点"": 12, ""汽车相关"": 79, ""生活服务"": 370, ""科教文化"": 90, ""购物消费"": 588, ""运动健身"": 34, ""酒店住宿"": 50, ""金融机构"": 27, ""餐饮美食"": 411 }"
95,B001549096,金苹果花园,上海市浦东新区上南路3500弄28号,121.499775,31.155401,39.833333333333336,18.55,32.21666666666667,15125.0,3.028151469618233,"{ ""交通设施"": 174, ""休闲娱乐"": 29, ""公司企业"": 154, ""医疗保健"": 83, ""商务住宅"": 159, ""旅游景点"": 11, ""汽车相关"": 65, ""生活服务"": 523, ""科教文化"": 95, ""购物消费"": 716, ""运动健身"": 39, ""酒店住宿"": 51, ""金融机构"": 32, ""餐饮美食"": 452 }"
96,B00155FIJ7,上南春天苑,上海市浦东新区杨南路826弄之1-46号,121.504564,31.151095,35.56666666666667,12.466666666666669,25.933333333333334,2676.1625,2.946018739079044,"{ ""交通设施"": 149, ""休闲娱乐"": 24, ""公司企业"": 118, ""医疗保健"": 72, ""商务住宅"": 148, ""旅游景点"": 5, ""汽车相关"": 61, ""生活服务"": 409, ""科教文化"": 49, ""购物消费"": 668, ""运动健身"": 26, ""酒店住宿"": 49, ""金融机构"": 23, ""餐饮美食"": 441 }"
97,B0FFG3WHWX,鹤坡路83弄小区,上海市闵行区鹤坡路83弄,121.529576,31.066238,154.06666666666666,41.85,62.48333333333333,2756.875,3.0437058162430213,"{ ""交通设施"": 71, ""休闲娱乐"": 17, ""公司企业"": 145, ""医疗保健"": 19, ""商务住宅"": 58, ""旅游景点"": 2, ""汽车相关"": 79, ""生活服务"": 152, ""科教文化"": 23, ""购物消费"": 290, ""运动健身"": 18, ""酒店住宿"": 35, ""金融机构"": 7, ""餐饮美食"": 271 }"
98,B0FFF4WMDN,聚缘南庭,上海市闵行区闵驰一路29弄1-22号,121.546334,31.039666,212.28333333333333,47.95,71.33333333333333,7802.85,3.111382633938441,"{ ""交通设施"": 29, ""休闲娱乐"": 8, ""公司企业"": 11, ""医疗保健"": 12, ""商务住宅"": 29, ""旅游景点"": 1, ""汽车相关"": 15, ""生活服务"": 83, ""科教文化"": 24, ""购物消费"": 71, ""运动健身"": 8, ""酒店住宿"": 2, ""金融机构"": 1, ""餐饮美食"": 46 }"
99,B0FFFRL1UU,滨浦新苑九村,上海市闵行区江汉路751弄,121.492289,31.062839,140.23333333333332,43.083333333333336,72.83333333333333,15161.575,3.311299370042529,"{ ""交通设施"": 17, ""休闲娱乐"": 3, ""公司企业"": 11, ""医疗保健"": 1, ""商务住宅"": 13, ""旅游景点"": 23, ""汽车相关"": 9, ""生活服务"": 21, ""科教文化"": 1, ""购物消费"": 15, ""运动健身"": 3, ""酒店住宿"": 5, ""餐饮美食"": 15 }"
100,B00153C966,华光苑,上海市浦东新区凌兆路88弄之1-39号,121.4915,31.140258,25.016666666666666,13.833333333333334,24.25,5087.5,3.051534739484043,"{ ""交通设施"": 39, ""休闲娱乐"": 3, ""公司企业"": 35, ""医疗保健"": 12, ""商务住宅"": 30, ""旅游景点"": 2, ""汽车相关"": 22, ""生活服务"": 109, ""科教文化"": 20, ""购物消费"": 101, ""运动健身"": 9, ""酒店住宿"": 5, ""餐饮美食"": 54 }"
